station_name,latitude,longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Damen Ave & Chicago Ave,41.895769,-87.67722,37.0,13.0,25.0,2.0,4.0,-31.0,-100.0,-501.0,-864.0,-235.0,-61.0,-25.0,-29.0,55.0,52.0,157.0,410.0,890.0,482.0,293.0,259.0,157.0,138.0,83.0
Damen Ave & Clybourn Ave,41.931931,-87.677856,12.0,6.0,7.0,0.0,-1.0,1.0,16.0,-35.0,-162.0,-28.0,-27.0,-9.0,4.0,-9.0,-13.0,38.0,14.0,175.0,113.0,-5.0,45.0,37.0,46.0,18.0
Damen Ave & Cortland St,41.916027,-87.677411,-24.0,-26.0,-3.0,9.0,-3.0,-92.0,-75.0,-187.0,-198.0,-74.0,-41.0,-20.0,-2.0,-71.0,71.0,33.0,181.0,328.0,67.0,108.0,93.0,59.0,41.0,16.0
Damen Ave & Coulter St,41.8492,-87.67564,11.0,6.0,4.0,-1.0,1.0,0.0,33.0,-12.0,-25.0,-7.0,1.0,-6.0,-13.0,-8.0,-8.0,-22.0,5.0,29.0,34.0,13.0,-2.0,18.0,13.0,19.0
Damen Ave & Cullerton St,41.855048,-87.675726,35.0,4.0,-3.0,0.0,-3.0,-1.0,-52.0,-22.0,-146.0,-9.0,-50.0,-85.0,-8.0,-14.0,-25.0,23.0,91.0,43.0,20.0,41.0,41.0,38.0,75.0,39.0
Damen Ave & Division St,41.90331,-87.67695,-50.0,-70.0,-46.0,-17.0,-6.0,-136.0,-266.0,-344.0,-518.0,-263.0,-60.0,-7.0,33.0,35.0,94.0,155.0,126.0,522.0,680.0,228.0,191.0,122.0,-4.0,13.0
Damen Ave & Grand Ave,41.89122,-87.67686,8.0,-1.0,14.0,4.0,-10.0,3.0,-105.0,-350.0,-293.0,-136.0,-27.0,-55.0,-88.0,-32.0,-57.0,55.0,90.0,315.0,198.0,99.0,92.0,5.0,39.0,32.0
Damen Ave & Leland Ave,41.967094,-87.679028,25.0,5.0,4.0,8.0,-7.0,-37.0,27.0,198.0,32.0,-25.0,26.0,-25.0,-31.0,-44.0,-46.0,-44.0,-2.0,-60.0,-236.0,-15.0,9.0,-1.0,97.0,35.0
Damen Ave & Madison St,41.88137,-87.67493,9.0,1.0,10.0,3.0,-4.0,-2.0,-13.0,-23.0,-36.0,-19.0,-10.0,-9.0,-15.0,14.0,-8.0,1.0,19.0,67.0,205.0,120.0,-33.0,-202.0,-128.0,-54.0
Damen Ave & Melrose Ave,41.9406,-87.6785,6.0,20.0,9.0,4.0,-22.0,-7.0,-17.0,-196.0,-272.0,-5.0,-26.0,-46.0,-24.0,-10.0,1.0,2.0,76.0,255.0,243.0,155.0,64.0,84.0,30.0,39.0
Damen Ave & Pierce Ave,41.9093960065,-87.6776919292,-89.0,-122.0,-50.0,-49.0,17.0,75.0,139.0,394.0,94.0,81.0,54.0,216.0,107.0,112.0,30.0,-3.0,3.0,-156.0,101.0,308.0,52.0,-61.0,-133.0,-68.0
Damen Ave & Sunnyside Ave,41.96325,-87.679258,19.0,21.0,10.0,5.0,0.0,-7.0,-13.0,-55.0,-42.0,-13.0,-32.0,-41.0,-52.0,-7.0,-15.0,3.0,23.0,113.0,-6.0,-44.0,36.0,83.0,51.0,26.0
